t1,t2,gr1,gr2,s1p1,s1p2,s2p1,s2p2,direction
0,0,9999,0.211863027,,,1.379846017,1.591709044,no-left
0,0,9999,0.666555353,,,0.83385503,1.500410383,no-left
0,0,0.205575321,0.524582719,1.642305929,1.847881249,0.89559798,1.420180699,no-left
0,0,2.276673843,0.295042554,0.544719626,2.821393469,1.083163837,1.378206392,no-left
0,0,2.260733878,0.585052497,0.684987296,2.945721174,0.856547363,1.44159986,no-left
0,0,9999,0.411133812,,,1.280469126,1.691602938,no-left
0,0,9999,0.681691133,,,0.814885226,1.49657636,no-left
0,0,9999,0.346563612,,,1.028364601,1.374928213,no-left
0,0,9999,0.460063831,,,1.057257268,1.517321098,no-left
0,0,-0.240982956,0.295221832,1.803506,1.562523044,1.094394004,1.389615836,no-left
0,0,2.518894147,0.285356832,0.275398719,2.794292866,1.133339536,1.418696368,no-left
0,0,0.985870204,1.890545641,1.941659918,2.927530122,1.055826148,2.946371789,no-left
0,0,9999,0.249786551,,,0.896621175,1.146407726,no-left
0,0,9999,2.044552822,,,0.956850652,3.001403474,no-left
0,0,1.851728078,0.638353637,0.183931499,2.035659576,0.79044239,1.428796027,no-left
0,0,9999,0.664752108,,,0.872874393,1.5376265,no-left
0,0,2.833099257,0.46193257,0.237512317,3.070611573,0.967410595,1.429343165,no-left
0,0,1.780877099,0.285362145,0.276432528,2.057309627,1.180185231,1.465547376,no-left
0,0,2.685717979,0.362083743,0.427046971,3.11276495,0.932541848,1.294625591,no-left
0,0,1.50693226,0.435399497,0.145261767,1.652194027,0.982806012,1.418205509,no-left
0,0,1.706539332,0.15830425,0.448587306,2.155126638,1.228012108,1.386316357,no-left
0,0,9999,0.238811088,,,1.027828831,1.266639918,no-left
0,0,2.997683965,0.111608633,0.507623797,3.505307762,1.165921006,1.277529639,no-left
0,0,1.28699579,0.543391394,0.29143668,1.57843247,0.746311493,1.289702888,no-left
0,0,9999,0.623654272,,,0.787207899,1.410862171,no-left
0,0,3.116612687,-0.156115486,0.332992093,3.44960478,1.344406281,1.188290795,no-left
0,0,2.179399523,2.330074058,0.721229108,2.900628631,0.828429898,3.158503956,no-left
0,1,-3.249517782,-0.40133116,4.484161519,1.234643737,2.053369074,1.652037914,right
1,1,-2.317462584,9999,3.632078437,1.314615853,,,no-right
1,1,-4.12392345,9999,4.073835572,-0.050087878,,,no-right
1,1,-2.53478762,9999,3.57175672,1.0369691,,,no-right
1,1,2.058249265,9999,1.714552245,3.77280151,,,no-right
1,1,-0.57208238,9999,2.01205827,1.43997589,,,no-right
1,1,0.011644235,9999,1.387842618,1.399486854,,,no-right
1,1,-1.282631936,9999,4.179986628,2.897354692,,,no-right
1,1,-2.067324135,9999,3.26996586,1.202641726,,,no-right
1,1,-1.808034241,9999,1.789394615,-0.018639626,,,no-right
1,1,-1.169577776,9999,4.226543964,3.056966188,,,no-right
1,1,-0.394691012,9999,3.767878942,3.37318793,,,no-right
1,1,-2.18384816,9999,3.289418642,1.105570482,,,no-right
1,1,-0.692914434,9999,1.914712901,1.221798466,,,no-right
1,1,-2.180994293,0.025081686,3.431522448,1.250528154,1.912224248,1.937305934,no-right
1,1,-1.726961277,-2.368486003,3.09834743,1.371386153,4.199879651,1.831393649,no-right
1,1,-1.600036398,1.299297722,3.35316569,1.753129293,1.772843553,3.072141276,no-right
1,1,-2.641855961,-1.139926186,3.833784017,1.191928057,4.165092078,3.025165892,no-right
1,1,-3.040274228,9999,4.097985124,1.057710896,,,no-right
1,1,-3.323936227,-2.364009752,4.111222283,0.787286056,4.338130335,1.974120583,no-right
1,1,-0.595586663,-2.12529896,1.861185931,1.265599268,4.17415419,2.048855231,no-right
1,1,-0.731546476,-0.927966832,3.731326167,2.999779691,4.381096206,3.453129373,no-right
1,1,-0.631806598,-2.400183595,1.817886608,1.18608001,4.458271591,2.058087995,no-right
1,1,-0.980332822,-0.845581784,4.041388804,3.061055982,2.959576802,2.113995019,no-right
1,1,-3.671200891,9999,3.948409657,0.277208766,,,no-right
1,1,-3.284881696,9999,4.142426892,0.857545197,,,no-right
1,1,-0.373121422,-2.289361916,1.894353309,1.521231887,4.241386003,1.952024087,no-right
0,1,0.730396852,0.971737831,1.208991681,1.939388533,0.866914542,1.838652373,right
1,0,-0.417279772,-2.790514602,1.832296096,1.415016324,4.125991309,1.335476706,left
0,1,0.676081481,0.343070794,1.055998238,1.732079719,1.005276172,1.348346966,right
1,0,-0.128650548,-2.746080882,1.732388101,1.603737553,4.242607743,1.496526861,left
0,1,1.380428666,0.757440382,0.073434869,1.453863534,1.099740555,1.857180937,right
1,0,-0.173580855,-2.503313769,1.687938457,1.514357602,4.189216838,1.685903069,left
0,1,0.313764121,1.137733045,0.904590822,1.218354943,1.00433724,2.142070285,right
1,0,-0.366993331,-2.590468904,1.835162946,1.468169615,4.059621839,1.469152935,left
0,1,2.426362757,1.917430249,0.398368199,2.824730956,1.01945745,2.936887699,right
1,0,-0.238157165,-2.992806544,1.886062174,1.647905009,4.344912143,1.352105599,left
0,1,1.234999943,1.006122516,0.21414584,1.449145783,1.141265422,2.147387938,right
1,0,-2.481258358,-0.398885838,4.153277017,1.672018658,1.726710705,1.327824867,left
0,1,1.130597309,0.424558501,0.213374801,1.34397211,1.420577114,1.845135616,right
1,0,0.072108757,-0.482991069,1.693068909,1.765177666,1.781754387,1.298763318,left
0,1,0.650892288,0.314387821,0.550379878,1.201272166,1.435542005,1.749929826,right
1,0,1.008131906,-1.567498104,1.824673573,2.832805479,4.473637074,2.90613897,left
0,1,-0.386737356,0.632751042,1.764873051,1.378135695,1.282358302,1.915109343,right
1,0,-1.341137797,-2.490604313,4.130113728,2.788975931,3.847969088,1.357364775,left
