Events,Success,Status,with-window,time
1,1,NO_CUE,0,2021-05-17:20-14
3,1,NO_CUE,0,2021-05-17:20-44
3,1,NO_CUE,1,2021-05-17:22-06
4,1,NO_CUE,1,2021-05-17:22-14
4,1,NO_CUE,0,2021-05-17:22-44
5,1,NO_CUE,1,2021-05-18:00-42
7,1,NO_CUE,1,2021-05-18:15-26
7,1,NO_CUE,0,2021-05-18:15-56
8,2,NO_CUE,0,2021-05-18:21-01
9,3,NO_CUE,0,2021-05-18:21-01
10,3,NO_CUE,1,2021-05-18:21-06
12,4,NO_CUE,0,2021-05-18:21-32
13,5,NO_CUE,0,2021-05-18:21-32
14,6,NO_CUE,0,2021-05-18:21-32
15,7,NO_CUE,0,2021-05-18:21-32
16,8,NO_CUE,0,2021-05-18:21-32
17,9,NO_CUE,0,2021-05-18:21-32
18,10,NO_CUE,0,2021-05-18:21-32
19,11,NO_CUE,0,2021-05-18:21-32
20,12,NO_CUE,0,2021-05-18:21-32
21,13,NO_CUE,0,2021-05-18:21-32
22,14,NO_CUE,0,2021-05-18:21-32
23,15,NO_CUE,0,2021-05-18:21-32
24,16,NO_CUE,0,2021-05-18:21-32
25,17,NO_CUE,0,2021-05-18:21-32
26,18,NO_CUE,0,2021-05-18:21-32
27,19,NO_CUE,0,2021-05-18:21-32
28,20,NO_CUE,0,2021-05-18:21-33
29,21,NO_CUE,0,2021-05-18:21-33
30,22,NO_CUE,0,2021-05-18:21-33
31,23,NO_CUE,0,2021-05-18:21-33
32,24,NO_CUE,0,2021-05-18:21-33
33,25,NO_CUE,0,2021-05-18:21-33
34,26,NO_CUE,0,2021-05-18:21-33
35,27,NO_CUE,0,2021-05-18:21-33
36,27,NO_CUE,1,2021-05-18:21-50
37,27,NO_CUE,1,2021-05-18:22-27
38,27,NO_CUE,0,2021-05-18:22-57
41,27,NO_CUE,1,2021-05-19:14-24
41,27,NO_CUE,0,2021-05-19:14-54
42,27,NO_CUE,1,2021-05-19:15-35
43,28,NO_CUE,0,2021-05-19:19-32
45,28,NO_CUE,1,2021-05-19:21-03
45,28,NO_CUE,0,2021-05-19:21-33
47,29,NO_CUE,0,2021-05-21:15-09
47,29,NO_CUE,0,2021-05-21:16-47
48,30,NO_CUE,0,2021-05-21:20-13
