p1,p2,e1,e2,label
0.003082022,0.996917978,0.002799915,0.90566707,left
0.001259663,0.998740337,0.002508045,1.988537156,left
0.000618118,0.999381882,0.002297414,3.714491675,left
0.000360358,0.999639642,0.002084881,5.783503373,left
0.000263703,0.999736297,0.001968544,7.463036431,left
0.000256866,0.999743134,0.002093084,8.146461532,left
0.000336285,0.999663715,0.002678902,7.963475225,left
0.000425381,0.999574619,0.003256871,7.65310183,left
0.000462398,0.999537602,0.003589992,7.760270648,left
0.000443971,0.999556029,0.003683725,8.293527326,left
0.000406376,0.999593624,0.00371676,9.142386621,left
0.000353897,0.999646103,0.003725905,10.52449188,left
0.000298279,0.999701721,0.003791099,12.70612294,left
0.00025632,0.99974368,0.003950407,15.40804693,left
0.000250942,0.999749058,0.004468719,17.80330379,left
0.000276267,0.999723733,0.005298332,19.17302191,left
0.000333724,0.999666276,0.006439415,19.2891835,left
0.000436569,0.999563431,0.007992439,18.29939603,left
0.000611466,0.999388534,0.010074004,16.46509154,left
0.000823458,0.999176542,0.011612725,14.09078435,left
0.000997348,0.999002652,0.011457386,11.47639987,left
0.001163469,0.998836531,0.010302414,8.84460477,left
0.001552207,0.998447793,0.009862743,6.344151969,left
0.002415486,0.997584514,0.010142915,4.188977842,left
0.00348763,0.99651237,0.009738087,2.78244047,left
0.002796449,0.997203551,0.007561215,2.696302021,left
0.001162802,0.998837198,0.005200259,4.466977937,left
0.00051128,0.99948872,0.004276655,8.360324635,left
0.000303042,0.999696958,0.004281194,14.1231313,left
0.00016984,0.99983016,0.003557231,20.94098465,left
7.53E-05,0.999924724,0.002078174,27.60533482,left
4.17E-05,0.999958326,0.001381482,33.14806627,left
6.59E-05,0.999934092,0.002430027,36.86757494,left
9.49E-05,0.999905083,0.003625835,38.19624713,left
0.000107023,0.999892977,0.003933366,36.74869649,left
0.000120408,0.999879592,0.003933264,32.66224424,left
0.000156311,0.999843689,0.004186935,26.78165648,left
0.000211591,0.999788409,0.004327353,20.44713457,left
0.000249989,0.999750011,0.003669182,14.67371849,left
0.000221744,0.999778256,0.002207314,9.952124049,left
0.000157498,0.999842502,0.001002834,6.366277529,left
0.00017779,0.99982221,0.000679468,3.821060509,left
0.00031509,0.99968491,0.000679147,2.154724409,left
0.000478567,0.999521433,0.00055474,1.158613816,left
0.001539519,0.998460481,0.001744553,1.131435895,left
0.000724156,0.999275844,0.001880495,2.59493054,left
0.000472209,0.999527791,0.002268907,4.802608098,left
